conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
749,GPT2-xlarge,beam search,A: I love spicy foods that kick is what makes the food great. <br>B: I agree. I love the way spices make my food taste. <br>A: What is your favorite spice to put in your foods? <br>B: Curry! Found in many Indian dishes. It comes from the curry leaves. <br>A: I love curry shrimp so good I love habaneros  its a dry chili pepper super hot but good on wings lol. <br>,"English cuisine Traditional meals have ancient origins, such as bread and cheese, roasted and stewed meats, meat and game pies, boiled vegetables and broths, and freshwater and saltwater fish.",My favorite food is traditional English cuisine. It has ancient origins.,0.833333333,No,y
490,GPT2-xlarge,beam search,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.","There are two types, the basic and the theme.",0.833333333,No,y
1013,GPT2-small,DBS,"A: I am going to see the Canadian rock band Nickelback soon! <br>B: I like to go to canada trip. can you tell more about that place <br>A: Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger <br>B: Good buddy.what special in album <br>A: They released a great album called ""The State"" in 2000 album and it achieved commercial success <br>B: Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada. <br>","Nickelback Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",They have sold over 50 MILLION albums worldwide,1.0,No,y
189,GPT2-medium,nucleus,"A: Skunks are mmmals that are categorized in the Mephitidae family. <br>B: Ew, I'm not a fan of skunks! Why are those beasts so smelly and nasty? <br>A: THey are known to spray a stinky liquid that has a stinky smell. <br>B: Right! It is absolutely disgusting! Do you know why it smells so bad? There's no other animal that does that! <br>A: The skunk is historically used as an insult started 1841. <br>B: Dang, even people back in the olden days had to put up with skunks. Do you know where they typically live at? <br>",Skunk Skunk cabbage is attested from 1751; earlier skunkweed (1738).,They are found in the south and east of the country. Skunk cabbage is attested from 1751.,0.5,Yes,y
491,GPT2-large,beam search,"A: hello I do love Agatha Christie novels <br>B: Me too. I like Hercule Poirot ones the best. <br>A: yes, Poirot is a great character, i do love it when he gets going <br>B: What's your favorite novel? Mine is The Big Four. <br>A: obvious choice is  Murder on the Orient Express, but i do enjoy her lesser known ones <br>","Murder on the Orient Express (2017 film) Murder on the Orient Express is a 2017 American mystery drama film directed by Kenneth Branagh, with a screenplay by Michael Green, based on the 1934 novel of the same name by Agatha Christie.",I've heard of that one. It's a great mystery drama.,1.0,No,y
795,GPT2-medium,beam search,"A: Pizza is a traditional Italian dish, do you like pizza? <br>B: I love Pizza, and I especially love Italian food. <br>A: Do you like your pizza with vegetables or meats? <br>B: Well I am vegetarian so definitely vegetables, I especially love fennel and arugula. <br>A: I love fennel also cause its from the carrot family. <br>B: Is it really? Do you know why it has a slight licorice taste? <br>",Liquorice Liquorice (British English) or licorice (American English) ( ) is the root of Glycyrrhiza glabra from which a sweet flavour can be extracted.,"I'm not sure, but I do know that it comes from the Glycylrhiza Glabra plant.",1.0,No,y
490,GPT2-large,nucleus,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.","They are the same way as Cryptic puzzles. There are different sets of clues, and the answer must be altered before entering.",0.833333333,No,y
386,GPT2-xlarge,nucleus,"A: React is a JavaScript library that is for building user interfaces. <br>B: That's pretty cool, how long has it been around? <br>A: It was first deployed in 2011 on Facebook's newsfeed. <br>B: Interesting, did Facebook develop it then? <br>A: I don't know about that one. <br>B: Alright, what else can you tell me about React? <br>","React (JavaScript library) He was influenced by XHP, an HTML component framework for PHP.","He was influenced by XHP, an HTML component framework for PHP.",1.0,No,y
1080,GPT2-xlarge,beam search,"A: I am allergic to bees, which a closely related to wasps, I can't bear the thought of getting a bee sting. <br>B: Are you allergic to a specific type of bee? <br>A: All bees and wasps, they all terrify me honey bee, african bee, wasps. The western honey beee is the most common bee worldwide so i most look out for them <br>B: What happens if you get stung? <br>A: Well without medical attention I don't make it. I can't even eat honey, because of the pollen that is used as food for the bee larvae. <br>B: Wow.  That sounds terrible.  Do you carry one of those Epipens? <br>","Beekeeping A location where bees are kept is called an apiary or ""bee yard.""","I don't have one, but I do have a bee yard. It is a place where they keep bees.",0.666666667,No,y
581,GPT2-xlarge,DBS,"A: I like to visit Florida in the winter. What can you tell me about the state? <br>B: Florida is a great state to vacation to,. <br>A: Yeah I like to go to Universal Studios and Disney World. The weather is nice in the winter. <br>B: I know it's so nice. Florida also means the ""land of flowers"" in Spanish. <br>A: Oh I never knew that. I want to visit Key West one day. <br>","Florida The state is bordered to the west by the Gulf of Mexico and Alabama, to the north by Alabama and Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida.",The state is also bordered by the gulf of mexico,1.0,No,y
857,GPT2-xlarge,nucleus,"A: I love to swim its a great form of exercise or even just recreation <br>B: I actually never learned to swim! <br>A: Humans can actually hold their breath underwater and swim with basic moves within weeks of birth <br>B: I didn't know that! So, theoretically, babies can swim? <br>A: yep it's just born response that we lose if not practiced I guess.  Swimming is actually among the top public  activities <br>B: I didn't know that either! It's not surprising though, so many people love the beach and pool. <br>","Swimming On average, the body has a relative density of 0.98 compared to water, which causes the body to float.",The body has a density of 0.98 which causes the body to float,1.0,No,y
611,GPT2-medium,nucleus,"A: Everyone in my family has to wear glasses except for me. Do you wear them? <br>B: Yes, but I only wear them for vision correction, reading glasses, and I wear sunglasses. <br>A: Seems like a good few reasons. What else do you know about them? <br>B: They are traditionally known as eye glass or spectacles and they consist of glass of hard plastic which is mounted in a fame that holds them over a person's eyes, using the bride of the nose and the ears. <br>A: That's interesting! How long have they been around? <br>",Glasses Safety glasses provide eye protection against flying debris for construction workers or lab technicians; these glasses may have protection for the sides of the eyes as well as in the lenses.,"I am not sure, but I do know that safety glasses provide eye protection against flying debris for construction workers.",1.0,No,y
572,GPT2-small,nucleus,"A: I like to play outside in the sun with my dolls. Especially My Little Pony. <br>B: Hasbro developed little pony <br>A: Very true. Hasbro is a great toy company. <br>B: ""Cutie marks"" are referred as symbols <br>A: Oh really? Are they on the ponies? <br>","List of My Little Pony: Friendship Is Magic characters It features characters and settings developed by Lauren Faust, who sought to create more in-depth characters than the stereotypical ""girly"" icons used in previous iterations of the franchise.","Yes, they are. They have a lot of characters and settings developed by Lauren Faust",1.0,No,y
104,GPT2-large,beam search,"A: Did you ever read 1984 in school? Pretty wild how often it comes up these days as feeling relevant -- even with it having been written in 1949 by Orwell. <br>B: Never heard of it. What is it about? <br>A: Well, it's the definition of dystopia. A society ruled by a privileged, elite party that persecutes individualism and independent thinking, which are regarded as ""thoughtcrimes"". <br>B: That sounds very interesting. I will have to check that out. <br>A: You'll suddenly realize *all* the references we have to it in popular culture. 1984 had the ""Thought Police"" that persecuted the ""thoughtcrimes"" -- and maybe you've heard Cheap Trick's song ""Dream Police""? That's just one example of influence. <br>B: That is very cool. I would love to hear more. <br>","Nineteen Eighty-Four The tyranny is ostensibly overseen by a mysterious leader known as Big Brother, who enjoys an intense cult of personality.","It's a great book. It's about the tyranny of Big Brother and how it's overseen by the mysterious leader, known as ""Big Brother"".",0.833333333,No,y
678,GPT2-large,beam search,"A: Do you know about pittsburgh <br>B: Yes! I'm originally from Pittsburgh! Go Steelers! Pittsburgh is located in Allegheny County, Pennsylvania. <br>A: Yes your right, it has junction of 3 rivers <br>B: Yes, it does. The Ohio, Monongahela and the Allegheny! The converge downtown and there's a beautiful park at that spot, Point State Park. <br>A: hmm,it is county seat of allegheny county <br>","Pittsburgh As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.","As of 2017 there were 305,000 people living there",0.833333333,No,y
1615,GPT2-small,nucleus,"A: My favorite color is forest green! I feel like it compliments my skin well. I feel like there has to be some cool facts to know about it, though. <br>B: Yes its one of the primary colors in the RGB color model, often used on television and computer screens. <br>A: My girlfriend always teases me about green being my favorite color.. Do me a favor, tell me the best fact you know about green, or the coolest instance of green in nature, etc. Just something to show her it's a good color to choose as your favorite. <br>B: You should know that in the Middle Ages and Renaissance, green was associated with merchants and bankers! I bet your girlfriend might be impressed by that! <br>A: Yeah.. that's kind of cool, actually. Merchants and bankers, they're good peeps. Well, what else might she not know? I don't want some common knowledge, I want the good stuff! <br>",Green It also has a long historical tradition as the color of Ireland and of Gaelic culture.,"I'm not sure of the history of green, but it has been a pretty popular color since it was first described in Ireland in the 14th century!",0.333333333,Yes,y
1046,GPT2-medium,beam search,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","Cardigan (sweater) The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",the cardigan was popular in the roaring twenties and 1930s,0.833333333,No,y
1391,GPT2-xlarge,DBS,"A: Have you ever had candy from Dylan's Candy Bar? It's to die for! They're a chain of boutique candy shops! <br>B: I don't think I have heard of them. I should probably check them out since I love candy! <br>A: There are currently locations in New York City, East Hampton, Los Angeles, Chicago and Miami Beach! Are you by one of those locations? <br>B: Oh my, I am quite far from all these places. But I visit NYC every summer so I will check it out next time! <br>A: The flagship location is the New York City store on 60th Street and 3rd Avenue! It's considered a must-see for many tourists and celebrities! <br>B: I see, I wonder what sort of famous candy they sell to attract celebrities! <br>","Dylan's Candy Bar It stocks 7,000 candies from around the world.","I'm not sure, but I do know that they have over 7000 candies in stock!",1.0,No,y
491,GPT2-medium,beam search,"A: hello I do love Agatha Christie novels <br>B: Me too. I like Hercule Poirot ones the best. <br>A: yes, Poirot is a great character, i do love it when he gets going <br>B: What's your favorite novel? Mine is The Big Four. <br>A: obvious choice is  Murder on the Orient Express, but i do enjoy her lesser known ones <br>","Murder on the Orient Express (2017 film) Murder on the Orient Express is a 2017 American mystery drama film directed by Kenneth Branagh, with a screenplay by Michael Green, based on the 1934 novel of the same name by Agatha Christie.",I haven't seen it. It's a mystery drama.,0.833333333,No,y
1612,GPT2-large,beam search,"A: Hello! I've been a cheerleader for 10 years. I absolutely love it! <br>B: Sounds cool, I know some cheerleaders and they all love it. <br>A: I bet. It really got popular around 2000 when the movie ""Bring It On"" was released. <br>B: That would make sense, as that was a big movie. <br>A: Yeah, it really helped to explode it into the limelight. There's over 1.5 million people completing in all-star cheerleading! <br>B: Wow that's a lot of people. I assume most are women. <br>",Cheerleading Cheerleading began during the late 18th century with the rebellion of male students.,"Yes, and cheerleaders have been around for a long time. They started in the late 1800s.",1.0,No,y
196,GPT2-small,beam search,"A: I am a big fan of education.  I think people don't realize how important it is <br>B: Sure, education is important since it facilitates learning and the acquisition of skills. <br>A: I always believed in the value of it.  Probably because I was raised my a household of teachers. <br>B: I see. Educational methods include discussion, storytelling, training, research. <br>A: Yes, all of which are essential and proven methods for reaching students.  Discussion is especially important <br>","Education Education can take place in formal or informal settings and any experience that has a formative effect on the way one thinks, feels, or acts may be considered educational.",I agree with you. Education can be informal or formal.,0.833333333,No,y
1679,GPT2-large,beam search,"A: I love to read and have not read the Harry Potter fantasy series yet; have you? They are written by J. K. Rowling. <br>B: I have read them but it has been many years. Do you like fantasy? <br>A: I do like some fantasy and was thinking that these novels of the life of a young wizard along with friends that are students would be a good read. What can you tell me about them? <br>B: They follow a young wizard named Harry Potter throughout his schooling years. <br>A: Would you suggest reading the books over watching the movies? <br>B: I would suggest reading the books over watching the movies, if you are a reader- they are long! <br>","Harry Potter The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",The series has had a lot of criticism about the darker tone and the graphic violence.,1.0,No,y
1731,GPT2-xlarge,DBS,"A: I've never heard of dylan's candy bar have you? <br>B: Yes, Dylan's Candy Bar is a chain of candy stores In several major cities <br>A: and what is it made of though? <br>B: Its not a candy bar that is the name of a chain of candy stores owned by Dylan Lauren, Ralph Laurens daughter <br>A: oh okay I'm sorry!! I misread. How many cities is it in? <br>","Dylan's Candy Bar Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",It is located in new york city,0.666666667,No,y
1731,GPT2-medium,nucleus,"A: I've never heard of dylan's candy bar have you? <br>B: Yes, Dylan's Candy Bar is a chain of candy stores In several major cities <br>A: and what is it made of though? <br>B: Its not a candy bar that is the name of a chain of candy stores owned by Dylan Lauren, Ralph Laurens daughter <br>A: oh okay I'm sorry!! I misread. How many cities is it in? <br>","Dylan's Candy Bar Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.","It is in New York City, East Hampton, New York, Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",1.0,No,y
98,GPT2-large,nucleus,"A: Hi! I really love fried chicken. <br>B: I do too! It's especially best in the south, since they're the ones that made the dish itself. <br>A: I agree. I must say though I don't like to cook it myself because it makes a big mess. <br>B: Yeah I agree, even though its delicious the breading and frying it adds a crisp coating but makes quite the mess of grease splatter. <br>A: I would love to find a recipe to bake the chicken so it still is as good as fried. Have you ever heard of a good recipe for that? <br>","Fried chicken Prior to the Second World War, fried chicken was often very expensive and was only enjoyed on special occasions.","I'm not sure, but I do know that before the Second World War, chicken was very expensive and only enjoyed on special occasions.",1.0,No,y
1140,GPT2-medium,nucleus,A: I drink protein powder with nothing but water. Before powders athletes in Greece ate meat and drank wine. <br>B: Oh that's cool. Did they do anything else interesting? <br>A: A lot of herbal concoctions were used to help with strength and stamina. <br>B: Were there any other herbal uses? <br>A: I'm not really sure. Bodybuilding has been around for a long time. Eugen Sandow was the first in the West. <br>B: Cool! Anything else you can tell me about Eugen Sandow? <br>,"Eugen Sandow He left Prussia in 1885 to avoid military service and traveled throughout Europe, becoming a circus athlete and adopting Eugen Sandow as his stage name.",He left Prussia in 1885 to avoid military service. He traveled all over Europe.,1.0,No,y
1140,GPT2-small,DBS,A: I drink protein powder with nothing but water. Before powders athletes in Greece ate meat and drank wine. <br>B: Oh that's cool. Did they do anything else interesting? <br>A: A lot of herbal concoctions were used to help with strength and stamina. <br>B: Were there any other herbal uses? <br>A: I'm not really sure. Bodybuilding has been around for a long time. Eugen Sandow was the first in the West. <br>B: Cool! Anything else you can tell me about Eugen Sandow? <br>,"Eugen Sandow He left Prussia in 1885 to avoid military service and traveled throughout Europe, becoming a circus athlete and adopting Eugen Sandow as his stage name.",He was a circus performer and adopted the name EugenSandow.,0.666666667,No,y
800,GPT2-large,nucleus,"A: I love to surf! Have you been? <br>B: i have only surfed for a couple of times in my life, Waves suitable for surfing are primarily found in the ocean <br>A: Did you like it? Yes, it's great in many parts of the world! I've surfed in California and South Africa! <br>B: i really enjoyed it but was never too good at it, The term ""surfing"" refers to the act of riding a wave <br>A: Gotcha! It takes lots of practice! There are lots of professional surfers as well! <br>","Surf culture That initial culture directly influenced modern surfing, which began to flourish and evolve in the early 20th century, with its popularity spiking during the 1950s and 1960s (principally in Hawaii, Australia, and California).","i am sure it takes practice, the initial culture directly influenced modern surfing, which began to flourish and evolve in the early 20th century",0.833333333,No,y
887,GPT2-large,nucleus,"A: I have been learning to speak hindu! <br>B: Wow, do you identify with the local South Asian population? What was your motivation for learning? <br>A: I just have a few friends and want to impress this boy... <br>B: Well interesting! The meaning of the term ""Hindu"" has evolved over time. How fluent are you? <br>A: I have only just started a few weeks ago, Are you fluent? <br>","Hindu Competing theories state that Hindu identity developed in the British colonial era, or that it developed post-8th century CE after the Islamic invasion and medieval Hindu-Muslim wars.","No, but I do know that Hindu identity developed in the British colonial era.",1.0,No,y
1607,GPT2-medium,DBS,"A: Winter is the coldest season of the year in polar and temperate zones <br>B: I live in a frequently-cold climate, so I am experienced with the cold.  Are you? <br>A: I try to adapt to the vagaries of the weather. is caused by the axis of the Earth in that hemisphere being oriented away from the Sun. <br>B: In my area, they say ""If you don't like the weather, just wait ten minutes.""  So adaptation to vagarities is the norm. <br>A: More so,many regions, winter is associated with snow and freezing temperatures. <br>B: Yes, in my area winter has a lot of snow and freezing temperatures.  Do you have a cold winter where you are? <br>","Climate of the Arctic The climate of the Arctic is characterized by long, cold winters and short, cool summers.",No I do not. I live in the Arctic which has long cold winters.,0.833333333,No,y
1079,GPT2-large,nucleus,"A: I was a huge fan of Nirvana and Kurt Cobain when I was younger. <br>B: Oh I still like Nirvana, Kurt Cobain's middle name was Donald! <br>A: I never knew that. I was so sad when he died. Seems like so long ago. Do you remember what year that was? <br>B: I do! Kurt Donald Cobain was born in 1967 and lived until 1994 <br>A: Oh wow. Longer ago than I realized. So unfortunate that he ended his own life. <br>","Kurt Cobain Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.","Yeah, I was so sad when he died. It seems like he was such a great person. Nirvana was originally called Cobain and started in 1987",0.5,Yes,y
379,GPT2-medium,DBS,"A: I am dying to go on vacay to New York City, its the most populous city in the US <br>B: I have never been.  What do you recommend I do if I visit? <br>A: Go see the headquarters of the United Nations for sure <br>B: Wow!  That would be amazing to see!  Do you actually get to see delegates? <br>A: I am not sure but can you believe one city has 23.7 million residents? <br>B: l would never have guessed that many!  Aren't there a lot of good plays to see there? <br>","New York City A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.","Yes, it is the financial, media, and cultural capital of all the world",1.0,No,y
654,GPT2-medium,beam search,"A: The beginning of school for most kids <br>B: Hey. Kintergarten is usually the first experience kids have  with schooling. They play, sing, draw, and get their basic skills for schooling from it. <br>A: Yes, most kids start at six when entering. <br>B: Six is the entry age in a lot of places, but some countries start children at 2 years old, and others as old as 8. <br>A: kids will learn the sounds of the alphabet. <br>","Alphabet This is in contrast to other types of writing systems, such as syllabaries (in which each character represents a syllable) and logographies (in which each character represents a word, morpheme, or semantic unit).","Yes, they will. They will learn how to read, write, and do other things that are similar to other writing systems.",0.666666667,No,y
1260,GPT2-medium,nucleus,"A: I have a hard time being motivated and focused some times. <br>B: It's an important skill to have. It is the reason we have desires, needs, and actions. <br>A: Yeah that makes sense. Do you know of any stragies to help me focus? <br>B: I have a few things that help me, and the biggest way is positive thinking. It helps me act in a certain way, or at least want to do that thing. <br>A: That's true and makes a lot of sense. <br>","Motivation Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",Another way to think about motivation is that it is a desire to perform an action.,1.0,No,y
81,GPT2-xlarge,nucleus,"A: Hi,what do you know about big farming? <br>B: Pig are primarily farmed just so they can be eaten by humans.  How sad but true. <br>A: OK,But there are some cultural and religion that detested eating pork meat .Is that true? <br>B: I think the quakers detest it in Utah.  To think in other nations thousands of pigs are housed in such terrible conditions.  I can't imagine being a pig. <br>A: Pig farming <br>",Pig farming Pigs have been farmed to dispose of municipal garbage on a large scale.,"Yes, they have been farmed to dispose of municipal garbage on a large scale.",1.0,No,y
591,GPT2-large,nucleus,"A: Don't you love pizza delivery, when a pizzeria or pizza chain delivers a pizza straight to a customers door? <br>B: I do love pizza delivery! So convenient! <br>A: I agree, its great having a delicious Italian dish delivered within an hour, steam coming out of the box <br>B: It is perfect for last minute when you don't know what to make. <br>A: Ordering over the internet too from the comfort of your desk, and easily being able to choose topings and sides easily is also another thing I absolutely love about pizza delivery <br>B: Yes that is a perk too. You can also use an app and create and order the pizza from your phone. <br>","Pizza delivery Specialized computer software for the pizza delivery business helps determine the most efficient routes for carriers, track exact order and delivery times, manage calls and orders with PoS software, and other functions.","I agree, you can track the pizza and deliver it right to your door without leaving the house!",0.833333333,No,y
960,GPT2-medium,nucleus,"A: I like Vietnamese cuisine, particularly Pho and Banh Mi which are popular in America. What about you? <br>B: I like it as well, vietamese cusine ecompasses the foods and beverages of vietnam <br>A: What are some other examples of vietnamese cuisine? <br>B: Another example or fact is that each dish has a distincitve flavor which reflects one or more elements <br>A: Cool, do you know what other cuisines influenced Vietnamese cuisine? <br>","Vietnamese cuisine Common ingredients include fish sauce, shrimp paste, soy sauce, rice, fresh herbs, fruit and vegetables.","Mostly fish sauce, shrimp paste, soy sauce, rice, fresh herbs, fruit and vegetables.",0.833333333,No,y
1894,GPT2-small,DBS,"A: Hey! How familiar are you with Kurt Cobain? <br>B: Yeah, he was from Washington, where he formed the band Nirvana. Are you a fan? <br>A: I've heard a few of his songs but not a huge know it all about anything of his <br>B: Nevermind was their first album with their drummer Dave Grohl. Do you know him from the Foo Fighters? <br>A: I do not. I think I've maybe heard one song by them <br>","Grunge Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns.","I don't know much about them, but I do know that grunge originated in Seattle, Washington.",0.833333333,No,y
61,GPT2-small,DBS,"A: I love to go travelling! It's my favorite! <br>B: trvaeling is very fun be it by bicycles, trians, cars, and planes or boats buses, or automobiles <br>A: I prefer to travel by car, but I'll fly if necessary. <br>B: Yep trvaeling for short stays before moving to a new place can be fun <br>A: Hotels are okay but if it's an extended stay I do an Airbnb. <br>","Airbnb Airbnb is an American company which hosts an online marketplace and hospitality service, for people to lease or rent short-term lodging including vacation rentals, apartment rentals, homestays, hostel beds, or hotel rooms.","Airbnb is an american company that hosts a online marketplace, hospitality service.",1.0,No,y
1046,GPT2-small,nucleus,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","Cardigan (sweater) The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",yes it was popular because it was associated with the college culture of the roaring twenties and early 1930s,1.0,No,y
581,GPT2-medium,nucleus,"A: I like to visit Florida in the winter. What can you tell me about the state? <br>B: Florida is a great state to vacation to,. <br>A: Yeah I like to go to Universal Studios and Disney World. The weather is nice in the winter. <br>B: I know it's so nice. Florida also means the ""land of flowers"" in Spanish. <br>A: Oh I never knew that. I want to visit Key West one day. <br>","Florida The state is bordered to the west by the Gulf of Mexico and Alabama, to the north by Alabama and Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida.","Florida is bordered to the west by the Gulf of Mexico and Alabama, to the north by Alabama and Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of",1.0,No,y
678,GPT2-large,nucleus,"A: Do you know about pittsburgh <br>B: Yes! I'm originally from Pittsburgh! Go Steelers! Pittsburgh is located in Allegheny County, Pennsylvania. <br>A: Yes your right, it has junction of 3 rivers <br>B: Yes, it does. The Ohio, Monongahela and the Allegheny! The converge downtown and there's a beautiful park at that spot, Point State Park. <br>A: hmm,it is county seat of allegheny county <br>","Pittsburgh As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.",Yes! It's the 63rd-largest city in the U.S.,1.0,No,y
490,GPT2-medium,DBS,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.",There are two types of cryptic puzzles. The basic cryptic and the themed.,1.0,No,y
83,GPT2-xlarge,nucleus,"A: I love Taco's! a Taco bell recently opened up near us and i cant get enough of it <br>B: tacos are a traditional mexican dish composed of corn or flour tortillas, which taco bell sells a lot of <br>A: I didnt know that! Do you know when taco's started being made? <br>B: It is not exactly known as the origins are generally theroetical that it dirived from mexico <br>A: Oh, that makes sense. Is there other ways to make tacos? <br>","Taco A taco can be made with a variety of fillings, including beef, pork, chicken, seafood, vegetables, and cheese, allowing for great versatility and variety.","There is the meat or shell taco, a taco can be made with a variety of fillings, including beef, pork, chicken, seafood, vegetables, and cheese, allowing for great versatility and variety",1.0,No,y
887,GPT2-xlarge,nucleus,"A: I have been learning to speak hindu! <br>B: Wow, do you identify with the local South Asian population? What was your motivation for learning? <br>A: I just have a few friends and want to impress this boy... <br>B: Well interesting! The meaning of the term ""Hindu"" has evolved over time. How fluent are you? <br>A: I have only just started a few weeks ago, Are you fluent? <br>","Hindu Competing theories state that Hindu identity developed in the British colonial era, or that it developed post-8th century CE after the Islamic invasion and medieval Hindu-Muslim wars.",I am not very fluent! I do know that Hindu identity developed in the British colonial era.,0.666666667,No,y
638,GPT2-small,beam search,"A: Do you enjoy italian food? <br>B: Yes I love Italian food.  What is your favorite? <br>A: I'm a big fan of lasagna! Although I'm not sure how authentically Italian that is, as how the recipes is the United States how been changed and whatnot. <br>B: I love chicken Parmesan! <br>A: Good choice! Anything with mozzarella and tomato wins me. <br>B: I Love both.  I also like provolone cheese! <br>","Provolone It is an aged ""pasta filata"" (stretched-curd) cheese originating in Casilli near Vesuvius, where it is still produced in pear, sausage, or cone shapes varying from long.",I love it too! It's an aged pasta-filata cheese from Casilli in Italy!,1.0,No,y
654,GPT2-large,DBS,"A: The beginning of school for most kids <br>B: Hey. Kintergarten is usually the first experience kids have  with schooling. They play, sing, draw, and get their basic skills for schooling from it. <br>A: Yes, most kids start at six when entering. <br>B: Six is the entry age in a lot of places, but some countries start children at 2 years old, and others as old as 8. <br>A: kids will learn the sounds of the alphabet. <br>","Alphabet This is in contrast to other types of writing systems, such as syllabaries (in which each character represents a syllable) and logographies (in which each character represents a word, morpheme, or semantic unit).","Yes, the alphabet is different from other writing systems.",1.0,No,y
