conv_index,dial_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
207,3,GPT2-small,beam search,"A: Pit bulls are great dogs, but quite often they are misunderstood. <br>B: I have always wondered where the name pit bull came from as a name of a breed of dog. <br>A: Pit bulls are a descendant of bulldogs! Maybe that's where the ""bull"" comes from. What do you think? <br>B: Pit Bulls were originally developed as fighting dogs, so i'm sure that is how they received their reputation. <br>A: They do sometimes serve as search and rescue and police dogs, so they do have a purpose. I have friends that own them and they are wonderful pets if trained correctly. <br>","The Schapendoes was originally a herding dog and general farm dog, but today also participates in dog sports such as agility and flyball.",They were originally bred to be herding dogs but now also participate in dog sport such as flyball and agility.,0.666666667,No,y
1140,1,GPT2-xlarge,nucleus,A: I drink protein powder with nothing but water. Before powders athletes in Greece ate meat and drank wine. <br>B: Oh that's cool. Did they do anything else interesting? <br>A: A lot of herbal concoctions were used to help with strength and stamina. <br>B: Were there any other herbal uses? <br>A: I'm not really sure. Bodybuilding has been around for a long time. Eugen Sandow was the first in the West. <br>B: Cool! Anything else you can tell me about Eugen Sandow? <br>,"Viewers of History wanted more military history programs, but there was not time on the channel, thus the creation of Military History.",He was a famous actor and a military history buff. He created the Military History Channel.,0.0,Yes,y
572,1,GPT2-large,beam search,"A: I like to play outside in the sun with my dolls. Especially My Little Pony. <br>B: Hasbro developed little pony <br>A: Very true. Hasbro is a great toy company. <br>B: ""Cutie marks"" are referred as symbols <br>A: Oh really? Are they on the ponies? <br>","It features characters and settings developed by Lauren Faust, who sought to create more in-depth characters than the stereotypical ""girly"" icons used in previous iterations of the franchise.",They are on the characters,0.0,Yes,y
1085,1,GPT2-medium,DBS,A: I love training dogs to do tricks and to behave well <br>B: That sounds like fun! Do you train dogs as a hobby or are you a professional dog trainer? <br>A: I just train my dogs through classical conditioning <br>B: What methods do you use to train them? I have a dog who needs to be trained! <br>A: Classical condition is forming an association between two stimuli and non-associative is where behavior is modified through habituation.  Also operant where they learn to form an association an action and its consequence <br>B: Oh I understand! I can see how that would be effective! Can you give me any other tips for training my dog? <br>,"Because of the simplicity of tic-tac-toe, it is often used as a pedagogical tool for teaching the concepts of good sportsmanship and the branch of artificial intelligence that deals with the searching of game trees.",Tic-Tac-Toe is a great teaching tool because it is simple,0.5,Yes,y
104,1,GPT2-xlarge,beam search,"A: Did you ever read 1984 in school? Pretty wild how often it comes up these days as feeling relevant -- even with it having been written in 1949 by Orwell. <br>B: Never heard of it. What is it about? <br>A: Well, it's the definition of dystopia. A society ruled by a privileged, elite party that persecutes individualism and independent thinking, which are regarded as ""thoughtcrimes"". <br>B: That sounds very interesting. I will have to check that out. <br>A: You'll suddenly realize *all* the references we have to it in popular culture. 1984 had the ""Thought Police"" that persecuted the ""thoughtcrimes"" -- and maybe you've heard Cheap Trick's song ""Dream Police""? That's just one example of influence. <br>B: That is very cool. I would love to hear more. <br>","James and his team developed the series as a study on the concept fame, and more specifically ""world fame"".",One of the most interesting things about the series is that it was actually a study of fame and world fame.,0.5,No,y
1028,1,GPT2-medium,DBS,A: I really like bowling but I have not done it in awhile. Has anything changed about it? <br>B: Bowling is one of major throwing sports. It has not changed <br>A: That's cool! So I can just get started again. :) Do you know much about bowling? <br>B: I am knowledgeable. In bowling your target is to knock all pins in the lane. <br>A: Oh yeah? What happens if you don't hit any pins? <br>,A pitch that misses the strike zone is called a ball (only if batter doesn't swing).,If you miss the ball you are called out.,0.666666667,No,y
407,1,GPT2-medium,beam search,"A: Do you like the flavor vanilla? It's my favorite ice cream flavor. It comes from a Mexican plant species. <br>B: Yes!  Vanilla gets a bad reputation as being a ""bland"" and ""boring"" flavor, but it's the basis for a lot of other flavors and mix-ins. <br>A: Yes, absolutely. It's a very subtle flavor that is rich at the same time, if that makes sense. The word vanilla comes from Spanish ""vaina"" which means ""little pod"". <br>B: Yeah that little pod contains the black seeds that contain all the flavor.  Alton Brown showed me on his show how to extract vanilla from the pod. <br>A: Apparently that is done by macerating and percolating the vanilla pods. You put it in a solution of water and ethanol. <br>B: Such an intense process, right!  Just so people can dismiss the flavor as ""boring.""  Anyway, have you ever tried vanilla in couscous?  It's usually used in ice cream, but vanilla can make an interesting desert couscous. <br>",The center is usually stuffed with redcurrant jelly or raspberry jam; a later variation replaced the jam with vanilla pastry cream.,"I have not, but I would love to try it. The center of the center usually has red currant jelly and raspberry jam.",0.666666667,No,y
1518,1,GPT2-large,DBS,"A: I dont like bees because they sting <br>B: me too, they are flying insects closely related to wasps and ants, known for their role in pollination <br>A: Yeah they give us honey and i like that atleast <br>B: We research says that  Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila <br>A: Do bees have fur? <br>","They are found on all continents, except Antarctica.",They do have fur and they are found all over the world,0.166666667,Yes,y
1552,1,GPT2-large,nucleus,A: Do you enjoy watching cheerleading? <br>B: yes i do because it is an event where cheer cheerleaders cheer  for their team as a form of encouragement. <br>A: Cheerleaders have to be pretty good athletes themselves. Many of them do all kinds of stunts! <br>B: Yes the activities can be chanting of  slogans to intense physical activity. <br>A: There are all sorts of national competitions for cheerleading as well. It has really changed a lot since I was a cheerleader years ago! <br>,"At a pep rally, cheerleaders will often lead in boisterous chants and dance moves intended to get the student body involved and supporting the school's team.","Yes, at the pep rally they are often lead in boisterous chants and dance moves to get the students involved and supporting the school's team.",1.0,No,y
77,5,GPT2-small,beam search,A: I really like racing go-karts. They are a type of open-wheel car. <br>B: yes i used to ride in them when I was younger. They are fun. <br>A: I also enjoy them because they come in all shapes and forms. Some don't even have moters! <br>B: how do they work without motors? <br>A: They are called gravity karts and work by using gravity to go down a hill really fast. <br>B: Oh ok kind of like a soap box derby? <br>,"Gravity racers, usually referred to as Soap Box Derby carts, are the simplest type of go-karts.","Yes, they are called soap box derby carts and they are very simple.",0.833333333,No,y
1046,1,GPT2-xlarge,DBS,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","At the same time, she started attending the theatre Ludus, which was at that time still an amateur theatre targeted towards younger audiences with its repertoire and performance of both national and foreign classics.",yea and she started going to the theatre ludus when she was younger,0.666666667,No,y
700,1,GPT2-large,DBS,"A: Hey there, are you a minecraft fan? <br>B: Minecraft is a video game designed by Swedish game designer named Markus Perrson that was later improved on by Mojang. It's super fun! <br>A: My nephew loves the game but I must admit that half the time I have no idea what he is doing. <br>B: Yeah my nephew loves it too. He spends half the day playing it. The part about building stuff allows players to build with cubes in a 3d environment. <br>A: Nice. I guess I'm not sure what the point of it is. Maybe that's why it's just a game. <br>","Multiple gameplay modes are available, including a survival mode where the player must acquire resources to build the world and maintain health, a creative mode where players have unlimited resources to build with and the ability to fly, an adventure mode where players can play custom maps created by other players, and a spectator mode where players can freely move throughout a world without being affected by gravity or collisions.",I don't know. There are so many different ways to play minecraft. You can play it in a survival or creative mode.,0.833333333,No,y
555,1,GPT2-xlarge,nucleus,"A: Do you know a lot about the NBA or other athletes? <br>B: Yes! I love the NBA, I'm a big Dwyane Wade fan. What about you? <br>A: That's so cool I am too. I'm a huge Heat fan. I wish we did better this playoffs! <br>B: Yea the Miami Heat did not do very well...it has all gone downhill since LeBron left <br>A: LeBron should have stayed in Miami with D wade. That made me unhappy. He is a great player. <br>",Heat forward LeBron James was named the Finals MVP.,"Yes, I can agree with you. He was a big factor in the Heat winning the Finals.",0.666666667,No,y
1123,1,GPT2-xlarge,beam search,"A: I love history, I wish I knew more about Genghis Khan, he seems very interesting. <br>B: Yes it is. Do you know much about  the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death. <br>A: How did he started his empire ? <br>B: Very interesting, his strategy was by uniting all the  nomadic tribes of  Northeast Asia <br>A: Did he ever attacked China ? <br>","After founding the Empire and being proclaimed ""Genghis Khan"", he launched the Mongol invasions that conquered most of Eurasia.","I'm not sure, but I do know that he was the first to conquer most of  Eurasia",0.5,Yes,y
1810,1,GPT2-small,beam search,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","I'm not sure how long they have been around, but I do know that five singles have reached the Billboard 200.",0.833333333,Yes,y
555,3,GPT2-small,beam search,"A: Do you know a lot about the NBA or other athletes? <br>B: Yes! I love the NBA, I'm a big Dwyane Wade fan. What about you? <br>A: That's so cool I am too. I'm a huge Heat fan. I wish we did better this playoffs! <br>B: Yea the Miami Heat did not do very well...it has all gone downhill since LeBron left <br>A: LeBron should have stayed in Miami with D wade. That made me unhappy. He is a great player. <br>",Heat forward LeBron James was named the Finals MVP.,"Yes, he is! He was named Finals MVP!",1.0,No,y
386,3,GPT2-small,nucleus,"A: React is a JavaScript library that is for building user interfaces. <br>B: That's pretty cool, how long has it been around? <br>A: It was first deployed in 2011 on Facebook's newsfeed. <br>B: Interesting, did Facebook develop it then? <br>A: I don't know about that one. <br>B: Alright, what else can you tell me about React? <br>",PHP code is usually processed by a PHP interpreter implemented as a module in the web server or as a Common Gateway Interface (CGI) executable.,I believe it was developed by a team of engineers.,0.5,Yes,y
1810,1,GPT2-xlarge,beam search,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","Yes, they have been around a long time. Their first album was released in 1995 and it was a huge hit. They have had a lot of success since then!",0.833333333,No,y
611,1,GPT2-xlarge,beam search,"A: Everyone in my family has to wear glasses except for me. Do you wear them? <br>B: Yes, but I only wear them for vision correction, reading glasses, and I wear sunglasses. <br>A: Seems like a good few reasons. What else do you know about them? <br>B: They are traditionally known as eye glass or spectacles and they consist of glass of hard plastic which is mounted in a fame that holds them over a person's eyes, using the bride of the nose and the ears. <br>A: That's interesting! How long have they been around? <br>",Safety glasses provide eye protection against flying debris for construction workers or lab technicians; these glasses may have protection for the sides of the eyes as well as in the lenses.,"I'm not sure, but safety glasses provide protection from flying debris.",0.833333333,No,y
1074,1,GPT2-large,nucleus,"A: Hi there! I'm an accountant - what do you do? <br>B: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494. <br>A: Yes, an old and noble profession, haha! What kind of engineering do you do? <br>B: I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different? <br>A: Not really, although it depends who you ask sometimes. <br>",Accounting directly impacts many other specialties in business and is closely linked with finance.,"It's very confusing, but it's very important to understand what you're doing in order to be successful. Also accounting directly impacts many other specialties in business and is closely linked with finance.",1.0,No,y
1147,6,GPT2-small,nucleus,"A: Hi! Do you know Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, <br>B: Yeah! I guess I always heard of him as ""Elvis Presley"". Do you like his music? <br>A: Yeah! Regarded as one of the most significant cultural icons of the 20th century,. <br>B: Cool! Yeah I've heard a few of his songs but I don't know much about him. Do you know his most famous song was? <br>A: More so, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". <br>B: Yeah? That's a pretty cool title. Do you know if he always played with the same band? <br>","His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.",He played with several of the same band members.,0.333333333,Yes,y
1391,1,GPT2-medium,DBS,"A: Have you ever had candy from Dylan's Candy Bar? It's to die for! They're a chain of boutique candy shops! <br>B: I don't think I have heard of them. I should probably check them out since I love candy! <br>A: There are currently locations in New York City, East Hampton, Los Angeles, Chicago and Miami Beach! Are you by one of those locations? <br>B: Oh my, I am quite far from all these places. But I visit NYC every summer so I will check it out next time! <br>A: The flagship location is the New York City store on 60th Street and 3rd Avenue! It's considered a must-see for many tourists and celebrities! <br>B: I see, I wonder what sort of famous candy they sell to attract celebrities! <br>","She is the daughter of American fashion designer Ralph Lauren, and the owner of New York City's Dylan's Candy Bar, which claims to be the ""largest candy store in the world"".","I'm not sure, but I do know that Ralph Lauren is the owner!",0.166666667,Yes,y
1090,3,GPT2-small,DBS,"A: John Ray Grisham Jr. is an American bestselling writer, attorney, politician, <br>B: Yes I think I have read some of his books - is he a crime writer? <br>A: Interestingly,his books has been translated into 42 languages and published worldwide. <br>B: Really? He must be worth a fortune. Have you read any? <br>A: I've read his first novel, ""A Time to Kill,"" was published in June 1989 <br>B: Do you know how many books John Grisham has written? <br>","The record experienced international success, selling more than 2 million copies worldwide.","Yes, he has sold over 2 million books worldwide",0.666666667,No,y
438,1,GPT2-medium,nucleus,"A: Hello, I live in Chicago. It has 9.5 million people in it, making it the third largest city in the US <br>B: i live in N.J. <br>A: Chicago is famous for its architecture. It's considered to be a very important global business center. <br>B: i never been there <br>A: Would you like to visit? If architechture doesn't interest you, there are many museums, restaurants, and other things to see. <br>B: i grew up in n.y. so i'm familiar with all that <br>",There is not enough evidence to assert what conditions gave rise to the first cities.,Chicago is a very diverse city. There is not enough evidence to say what conditions gave rise to the first cities.,1.0,No,y
1810,5,GPT2-small,beam search,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","I'm not sure how long they have been around, but I do know that five singles have reached the top 10 in the Billboard 200.",0.833333333,No,y
1013,7,GPT2-small,nucleus,"A: I am going to see the Canadian rock band Nickelback soon! <br>B: I like to go to canada trip. can you tell more about that place <br>A: Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger <br>B: Good buddy.what special in album <br>A: They released a great album called ""The State"" in 2000 album and it achieved commercial success <br>B: Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada. <br>",She has won numerous awards and has sold more than 50 million records worldwide.,They have won numerous awards and has sold more than 50 million records,1.0,No,y
104,1,GPT2-xlarge,DBS,"A: Did you ever read 1984 in school? Pretty wild how often it comes up these days as feeling relevant -- even with it having been written in 1949 by Orwell. <br>B: Never heard of it. What is it about? <br>A: Well, it's the definition of dystopia. A society ruled by a privileged, elite party that persecutes individualism and independent thinking, which are regarded as ""thoughtcrimes"". <br>B: That sounds very interesting. I will have to check that out. <br>A: You'll suddenly realize *all* the references we have to it in popular culture. 1984 had the ""Thought Police"" that persecuted the ""thoughtcrimes"" -- and maybe you've heard Cheap Trick's song ""Dream Police""? That's just one example of influence. <br>B: That is very cool. I would love to hear more. <br>","James and his team developed the series as a study on the concept fame, and more specifically ""world fame"".",One of the most interesting things about the series is that it was actually a study of fame and world fame.,0.833333333,No,y
189,3,GPT2-small,nucleus,"A: Skunks are mmmals that are categorized in the Mephitidae family. <br>B: Ew, I'm not a fan of skunks! Why are those beasts so smelly and nasty? <br>A: THey are known to spray a stinky liquid that has a stinky smell. <br>B: Right! It is absolutely disgusting! Do you know why it smells so bad? There's no other animal that does that! <br>A: The skunk is historically used as an insult started 1841. <br>B: Dang, even people back in the olden days had to put up with skunks. Do you know where they typically live at? <br>",Skunk cabbage is attested from 1751; earlier skunkweed (1738).,Skunk cabbage is attested from 1751.,1.0,No,y
1655,1,GPT2-medium,beam search,"A: Where can someone learn about the stock market? <br>B: the equity  market is the aggregation of buyers and sellers of stocks which represent ownership claims on businesses <br>A: Interesting. So technically, when people purchase stocks, they are purchasing a small claim or share on a business? <br>B: they can also include securities listed on a public stock exchange as well as those only traded privately <br>A: I'm not sure I understand what you mean. <br>",Examples of the latter include shares of private companies which are sold to investors through equity crowdfunding platforms.,exchange traded funds (ETFs) are a type of investment,0.833333333,No,y
1147,1,GPT2-xlarge,nucleus,"A: Hi! Do you know Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, <br>B: Yeah! I guess I always heard of him as ""Elvis Presley"". Do you like his music? <br>A: Yeah! Regarded as one of the most significant cultural icons of the 20th century,. <br>B: Cool! Yeah I've heard a few of his songs but I don't know much about him. Do you know his most famous song was? <br>A: More so, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". <br>B: Yeah? That's a pretty cool title. Do you know if he always played with the same band? <br>","His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.","Yes, his career began in 1954.",1.0,No,y
1163,1,GPT2-medium,beam search,A: Some days I have the hardest time getting motivated <br>B: Please stay motivated because it is the sole purpose for your desires and needs. <br>A: do you have any suggestions on how to stay motivated? <br>B: Set a personal goal like losing weight. <br>A: setting the goal isn't the issue most of the time...it's actually getting started in the process. <br>,"Dopaminergic pathways, sometimes called dopaminergic projections, are the sets of projection neurons in the brain that synthesize and release the neurotransmitter dopamine.",Dopamine is important for motivation.,0.333333333,Yes,y
1518,1,GPT2-medium,nucleus,"A: I dont like bees because they sting <br>B: me too, they are flying insects closely related to wasps and ants, known for their role in pollination <br>A: Yeah they give us honey and i like that atleast <br>B: We research says that  Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila <br>A: Do bees have fur? <br>","They are found on all continents, except Antarctica.","They do have fur,  They are found on all continents except Antarctica",0.5,Yes,y
611,1,GPT2-medium,DBS,"A: Everyone in my family has to wear glasses except for me. Do you wear them? <br>B: Yes, but I only wear them for vision correction, reading glasses, and I wear sunglasses. <br>A: Seems like a good few reasons. What else do you know about them? <br>B: They are traditionally known as eye glass or spectacles and they consist of glass of hard plastic which is mounted in a fame that holds them over a person's eyes, using the bride of the nose and the ears. <br>A: That's interesting! How long have they been around? <br>",Safety glasses provide eye protection against flying debris for construction workers or lab technicians; these glasses may have protection for the sides of the eyes as well as in the lenses.,Safety glasses have been around for a long time. They provide protection from flying debris.,0.833333333,No,y
766,1,GPT2-xlarge,nucleus,A: Horse training is interesting. It can cause a horse to do incredible things! <br>B: I've trained horses to help my family with farm work before <br>A: That's great. Were they tame or did they race? <br>B: Tame horses and wild horses both race. <br>A: That's cool. Did any of your horses win any races? <br>,"A cowboy is an animal herder who tends cattle on ranches in North America, traditionally on horseback, and often performs a multitude of other ranch-related tasks.",I don't know. I just rode them and trained them. I'm not sure how they won.,1.0,No,y
1254,7,GPT2-small,nucleus,"A: my favorite color is green <br>B: That is the color between blue and yellow. <br>A: if I recall it is a secondary color since it is made up of two primary colors <br>B: Yes, I also like green cause many creatures have adapted to their environments by turning green themselves. <br>A: i wonder if green is the most common color in nature <br>",The plant is mostly local but is abundant where it is found.,"Yes it is, it is found in many places in the world.",0.666666667,No,y
1074,1,GPT2-small,nucleus,"A: Hi there! I'm an accountant - what do you do? <br>B: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494. <br>A: Yes, an old and noble profession, haha! What kind of engineering do you do? <br>B: I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different? <br>A: Not really, although it depends who you ask sometimes. <br>",Accounting directly impacts many other specialties in business and is closely linked with finance.,It's interesting that accounting impacts so many other specialties in business and is closely linked with finance.,1.0,No,y
1254,1,GPT2-medium,beam search,"A: my favorite color is green <br>B: That is the color between blue and yellow. <br>A: if I recall it is a secondary color since it is made up of two primary colors <br>B: Yes, I also like green cause many creatures have adapted to their environments by turning green themselves. <br>A: i wonder if green is the most common color in nature <br>",The plant is mostly local but is abundant where it is found.,"I am not sure, but I do know that the plant is most abundant in areas that have it.",1.0,No,y
638,5,GPT2-small,beam search,"A: Do you enjoy italian food? <br>B: Yes I love Italian food.  What is your favorite? <br>A: I'm a big fan of lasagna! Although I'm not sure how authentically Italian that is, as how the recipes is the United States how been changed and whatnot. <br>B: I love chicken Parmesan! <br>A: Good choice! Anything with mozzarella and tomato wins me. <br>B: I Love both.  I also like provolone cheese! <br>","Similar to Manchego, this firm cheese has a milky, nutty flavour that goes well with various pear products.","Manchego is my favorite. It has a nutty taste, and it's so good with pear products!",1.0,No,y
1655,1,GPT2-xlarge,DBS,"A: Where can someone learn about the stock market? <br>B: the equity  market is the aggregation of buyers and sellers of stocks which represent ownership claims on businesses <br>A: Interesting. So technically, when people purchase stocks, they are purchasing a small claim or share on a business? <br>B: they can also include securities listed on a public stock exchange as well as those only traded privately <br>A: I'm not sure I understand what you mean. <br>",Examples of the latter include shares of private companies which are sold to investors through equity crowdfunding platforms.,you can also use the equity crowdfunding platform to invest in private companies,1.0,No,y
386,1,GPT2-medium,DBS,"A: React is a JavaScript library that is for building user interfaces. <br>B: That's pretty cool, how long has it been around? <br>A: It was first deployed in 2011 on Facebook's newsfeed. <br>B: Interesting, did Facebook develop it then? <br>A: I don't know about that one. <br>B: Alright, what else can you tell me about React? <br>",PHP code is usually processed by a PHP interpreter implemented as a module in the web server or as a Common Gateway Interface (CGI) executable.,"Well, I know that a lot of code is processed by the PHP interpreter.",1.0,No,y
84,1,GPT2-large,beam search,"A: I went to visit Dallas, TX years ago, but I'd like to go back. Ever been? <br>B: no but ive driven through dallas texas, seems like a nice city <br>A: Yes, I went as a child and we have a picture of me trying to climb the fence around the house in the show, ""Dallas"". But, I can't remember much about the actual city. <br>B: its the ninth highest population of american citites <br>A: I can see that. My aunt lived there for a long time and she really liked it. But, said it was crazy populated <br>",The city's population ranks ninth in the U.S. and third in Texas after Houston and San Antonio.,yea its the third largest city in texas,1.0,No,y
678,1,GPT2-large,DBS,"A: Do you know about pittsburgh <br>B: Yes! I'm originally from Pittsburgh! Go Steelers! Pittsburgh is located in Allegheny County, Pennsylvania. <br>A: Yes your right, it has junction of 3 rivers <br>B: Yes, it does. The Ohio, Monongahela and the Allegheny! The converge downtown and there's a beautiful park at that spot, Point State Park. <br>A: hmm,it is county seat of allegheny county <br>",It is Pennsylvania's third most populous city and the 231st largest city in the United States.,Pennsylvania is the 3rd most populous state in the US,0.333333333,Yes,y
1207,2,GPT2-small,beam search,"A: I drink protein powder with nothing but water <br>B: Really? Have you ever tried fish protein powder? Sounds gross, but its made for humans to drink. <br>A: Does it smells and taste good. Maybe I could give it a trial. I am trying to gain muscles here <br>B: I'm not sure? I do know it is put through a vigorous sanitation process.  It has to meet certain purity and functional aspects to be considered food grade. <br>A: Do you know the process it go through to be made <br>",Sustainable sanitation is a sanitation system designed to meet certain criteria and to work well over the long-term.,"I am not sure, but I know that it is designed to work over a long term.",0.833333333,No,y
1100,1,GPT2-xlarge,beam search,A: i love harry potter <br>B: I really like Harry Potter and J.K. Rowling. <br>A: yea its a great series <br>B: For a while I never knew that J.K. Rowling was a British author. <br>A: oh yea i didnt know that <br>,"Draco serves as a foil to the hero, Harry Potter and is loosely based on bullies Rowling encountered during her school days.",Draco is a great foil to Harry Potter.,0.666666667,Yes,y
1462,1,GPT2-large,nucleus,"A: I am a big fan of Elvis Presley. He was regarded as one of the most significant cultural icons of the 20th century <br>B: I like his movies.  I can't think of the names of any of them right off. <br>A: I only know his music, like Heartbreak Hotel which was his first #1 hit <br>B: I believe he got his start in music by promoting African American songs. <br>A: He did, with his producer Sam Philips at Sun Records they wanted to bring African American music to a wider audience <br>B: I think Blue Suede Shoes is my favorite. <br>",Perkins recorded his song with the same title with similar music but an updated arrangement in 1956 for Sun Records.,I think so too. His song Perkins was released in 1956,0.666666667,No,y
1605,1,GPT2-xlarge,nucleus,"A: Hello. I'm involved in an on-again, off-again relationship, and I don't think my girlfriend understands. <br>B: Do you think the inabity to keep the relationship going is due to factors insided the relationship or some external factor beyond your control? <br>A: I'm not sure. What do you think is usually the case in relationships like this? <br>B: Could be ither, really because reasons why relationships like yours for can be complex. <br>A: Indeed, that's true. What steps do you think we can take to improve the relationship? <br>","Peplau believed that the relationship depended on the interaction of the thoughts, feelings, and actions of each person and that the patient will experience better health when all their specific needs are fully considered in the relationship.","I'm not sure but I know that Peplau believed that the relationship depended on the interaction of the thoughts, feelings, and actions of each person",1.0,No,y
700,1,GPT2-xlarge,beam search,"A: Hey there, are you a minecraft fan? <br>B: Minecraft is a video game designed by Swedish game designer named Markus Perrson that was later improved on by Mojang. It's super fun! <br>A: My nephew loves the game but I must admit that half the time I have no idea what he is doing. <br>B: Yeah my nephew loves it too. He spends half the day playing it. The part about building stuff allows players to build with cubes in a 3d environment. <br>A: Nice. I guess I'm not sure what the point of it is. Maybe that's why it's just a game. <br>","Multiple gameplay modes are available, including a survival mode where the player must acquire resources to build the world and maintain health, a creative mode where players have unlimited resources to build with and the ability to fly, an adventure mode where players can play custom maps created by other players, and a spectator mode where players can freely move throughout a world without being affected by gravity or collisions.","Well there are multiple gameplay modes, including survival, creative, adventure, and spectator.",0.833333333,No,y
566,1,GPT2-xlarge,DBS,"A: I dont know anyone with a Bachelors in nursing. <br>B: i dont either. The Bachelor of Science in Nursing also known in some countries as a Bachelor of Nursing <br>A: Yea seems more like a woman dominant field. <br>B: Yeah and somtimes, The course of study is typically 3 or 4 years. <br>A: Oh do they not need anything like medical school experience <br>","The difference in degree designation may relate to the amount of basic science courses required as part of the degree, with BScN and BSN degree curriculums requiring completion of more courses on math and natural sciences that are more typical of BSc degrees (e.g.",I'm not sure about that but I do know that the difference between a BSc and a BSN is that the BSc requires more science courses.,0.666666667,No,y
1046,1,GPT2-large,DBS,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","At the same time, she started attending the theatre Ludus, which was at that time still an amateur theatre targeted towards younger audiences with its repertoire and performance of both national and foreign classics.",yea and she started going to the theatre ludus which was a theatre for young people,1.0,No,y
1074,1,GPT2-xlarge,beam search,"A: Hi there! I'm an accountant - what do you do? <br>B: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494. <br>A: Yes, an old and noble profession, haha! What kind of engineering do you do? <br>B: I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different? <br>A: Not really, although it depends who you ask sometimes. <br>",Accounting directly impacts many other specialties in business and is closely linked with finance.,"I know that accounting directly impacts a lot of other fields in business, like finance.",1.0,No,y
