conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
309,GPT2-small,nucleus,"A: Auto racing is a motorsport that involve multiple automobiles competing against one another.<br>B: Have you ever participating in auto racing, or are you a fan?<br>A: I am just a fan, I would like to participate in one but it is dangerous!<br>B: It is very dangerous! I heard about a death in an auto race just a few days ago. Sad.<br>A: That is so sad, however this would not stop me from attempting to participating in Auto racing one day. I'll make sure I am safe<br>B: Would you run on a dirt track?<br>",Dirt track racing Dirt track racing is the single most common form of auto racing in the United States.,"I would not! I would try to practice the race in my car, it is very dangerous.",0.0,No,y
310,GPT2-small,nucleus,"A: Sometimes the taste of popcorn puts me off. Do you like popcorns?<br>B: I like popcorn. It is based on corn and kernels.<br>A: Who invented popcorn?<br>B: I am not sure, but corn was developed in Mexico long ago.<br>A: Wow, I thought it was the american indian's. Do you know what happens that makes the corn pops?<br>",Popcorn Archaeologists discovered that people have known about popcorn for thousands of years.,I think it has to do with the fact that people have known about popcorn for thousands of years.,1.0,No,n
311,GPT2-small,nucleus,"A: I really enjoy bowling. Its a great way to have fun and to get your mind off things. Do you like bowling?<br>B: I do bowl for a leisure activity, it is fun to roll the ball toward the target. <br>A: Yes I agree. Its so peaceful to me also. Whats your favorite thing about bowling?<br>B: I love when I knock down all the pins on the first try and I get a strike. <br>A: Yes definitely. Theres nothing more irritating than a 3 10 split. <br>","Bowling Three consecutive strikes is a known as a ""turkey"".",Same here. I like to knock the ball away from the target and use a fork to twist the ball.,0.33,Yes,y
312,GPT2-small,nucleus,"A: I love watching the NFL. I'm anxious for the season to start, even though I think Houston (my team) will probably be terrible.<br>B: I don't know much about it just that its a team sport with eleven players but I always hope the Saints win!<br>A: Eleven players on the field, yeah, but you can never count out the 12th man: the crowd! Have you ever been to a football game?<br>B: Yes and I know points are scored by getting the ball into the other teams endzone to touchdown then everyone cheers and drinks!<br>A: That's definitely the most exciting way to score, for sure. And yes, brewskis are an important part of all sports. It's half the reason I watch, to be able to drink, lol.<br>",American football The team with the most points at the end of a game wins.,"I really like the fans and the way they cheer, especially when they are playing their first game!",0.0,Yes,y
313,GPT2-small,nucleus,"A: My little brother has a broken heart and I dont know how to help him<br>B: Thats tough. Broken heart is a metaphor for a broken heart. Is that what happened to him?<br>A: He lost his girlfriend to cancer<br>B: Emotional pain from a broken heart can cause ""broken heart syndrome"" if it gets sever enough. Hes going to need a lot of support.<br>A: Yeah we are all in town to help him right now<br>","Broken heart The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","Yeah, it's scary. The emotional pain of a broken heart is believed to be part of the survival instinct.",1.0,No,y
315,GPT2-small,nucleus,"A: the land is green ,natures best<br>B: Green is well known as the color of Ireland and Gaelic culture. It is also my favorite color!<br>A: why are plants green?<br>B: Chlorophyll is the reason why plants are green, it is also the chemical that converts sunlight into chemical energy.<br>A: how is green color produced?<br>",Green It is evoked by light which has a dominant wavelength of roughly 495570 nm.,Green is evoked by light which has a dominant wavelength of roughly 495570 nm.,1.0,No,y
316,GPT2-small,nucleus,"A: I really enjoy listening to rap music, particularly Kendrick Lamar.<br>B: Interesting, I don not know much about rap music, can you tell me more?<br>A: Rap evolved out of the hip hop genre which was developed in the 1970s in the Bronx.<br>B: I know a few rappers, Eminem, 50 cents, who is your favorite rapper besides, Kendrick Lamar?<br>A: While I also love Eminem, particulalry his 2000s work, I prefer Childish Gambino's current take on American social issues within his music.<br>B: I see, What about female rappers? any favorite?<br>","Lil' Kim In 1994, she was discovered by fellow rapper The Notorious B.I.G., who invited her to join his rap group Junior M.A.F.I.A.","I think Lil' Kim was a female rapper, and she was discovered by The Notorious B.I.G.",1.0,No,y
317,GPT2-small,nucleus,"A: Do you like Chihuahua's? I think they are cute, and their name origin is interesting to me, it is the smallest breed of dog<br>B: Yeah I love them! I own one! They are so friendly and nice! <br>A: Dogs in general are so cute, it is crazy to me that they evolved from extant gray wolves, as wolves are so much different, it is hard to believe they are ancestors<br>B: It's amazing how humans domesticated and bred dogs down to create the dogs we have today. Early dogs were bread to ease everyday task. <br>A: Yeah, while the origins of dogs are not really clear, it is clear humans had a role in that process, which amazes me, as we have created so many different and varying breeds of dogs<br>B: The Dochen was used back in the day to hunt out rabbits from holes in the ground for hunters to shoot <br>","Wolf hunting Wolf hunting is the practice of hunting gray wolves ""(Canis lupus)"" or other species of wolves.","Yeah, that was amazing, I love to hunt and gather the best dogs for my family, I have a really cool dog named Wolf Hunter, he is my favorite dog!",0.0,Yes,y
318,GPT2-small,nucleus,"A: I love Archery<br>B: Interesting. I hear that you use a bow to propel arrows in the sport of archery.<br>A: Oh yes, it is very good for hunting<br>B: I hear composite bows take a long time to make, but they are strong and good for hunting<br>A: I do not know much about their making. What more iinformation do you have about the bow<br>",Crossbow It shoots arrow-like projectiles called bolts or quarrels.,"I know that crossbows shoots arrows called bolts or quarrels, and they are very fast and accurate.",0.67,Yes,y
319,GPT2-small,nucleus,"A: I love American football dont you?<br>B: I do too! It's a great team sport played on a rectangular field between two goalposts.<br>A: I think my favorite team is the cowboys<br>B: Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game.<br>A: They are still a good team even though they had that controversy<br>",Tom Brady He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,I agree. I think Tom Brady is the best,0.5,No,y
320,GPT2-small,nucleus,"A: Harry Potter is a really solid set of novels.<br>B: My son loves the series, but I don't know much about it. How many books are in the series?<br>A: Harry Potter consists of seven different fantasy novels.<br>B: I better get reading! What is the general plot of the story?<br>A: Harry Potter follows, you guessed it, Harry Potter and his friends like Hermione and Ron.<br>B: Do they get into lots of adventures together? <br>","Harry Potter The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Yes, they do! Harry Potter and his friends are always in trouble.",0.17,Yes,y
321,GPT2-small,nucleus,A: I love to go bowling. Do you like bowling?<br>B: I bowl every weekend. I love it.<br>A: Have you ever been able to obtain the maximum score 300?<br>B: Only once and it was ten years ago.<br>A: That's amazing! The best thing I have ever gotten was a turkey or 3 consecutive strikes.<br>B: I usually score around 200. The 300 was the game of my life.<br>,"Bowling The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.","I see, you are talking about ten-pin bowling. The most common type of pin bowling include ten-pin, 9-pin, candlepin, duckpin and five-pin bowling.",1.0,No,y
322,GPT2-small,nucleus,"A: I like cardigans<br>B: A cardigan is a type of knitted sweater, with an open front. How many do you own?<br>A: I own three, I think cardigans are perfect for the fall<br>B: They are! not too hot and not too cold, commonly they have buttons, a cardigan that is tied is referred to as a robe. <br>A: oh I don't like it when people tie them I think it looks weird<br>","Cardigan (sweater) By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn.","I know! it's a little weird, but a pullover does not open in front, but must be pulled over.",1.0,No,y
323,GPT2-small,nucleus,"A: I always wanted to learn how to do archery. What can you tell me about it?<br>B: It is a cool sport actually!  You use the skill of using a bow to shoot arrows at targets (or people - - whichever)<br>A: I would think I would get in trouble shooting at people. Perhaps for self defense is OK.<br>B: Well if you consider that historically it's used for hunting and combat, people have been shot with arrows - I mean look at Hawkeye!  He's the ultimate archery master!<br>A: That is true. Archery was around long before guns were invented. It used to be the most lethal weapon around!<br>","Archery In modern times, it is mainly a competitive sport and recreational activity.",Well in modern times it's mostly a competitive sport and recreational activity.  You can't kill people.,0.83,No,y
325,GPT2-small,nucleus,A: Colors are a lot of fun. My favorite to use in art is green.<br>B: I also like green.  It is right between yellow and blue on the color wheel<br>A: Yep! Colors are really interesting with how ways you can mix them to make new colors. <br>B: I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?<br>A: That's amazing. I never thought about how old their company must be until now. <br>,"History of Crayola crayons After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",They were started in 1903.  They are still making great crayons.,0.0,Yes,y
326,GPT2-small,nucleus,"A: Cod is actually named for a number of fish species.<br>B: it is named after the gadidae family<br>A: Cod is popular with its mild flavor and dense, flaky, white flesh.<br>B: Cod fish is very important to nations economies<br>A: In the UK, it's the most common ingredient in fish and chips alon gwith haddock and plaice.<br>B: It is similair to the haddock,tilipia and pollock family of fish<br>","Cod Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",Cod liver oil is one of the most important vitamins.,0.5,No,y
327,GPT2-small,nucleus,"A: I love winter season becuase it is so beautiful when the snow covers the parks!<br>B: Snowflakes are formed by the attraction of super-cooled water to a particle.<br>A: That is very informative! Another thing about snowflakes are that the pattern that they are formed in is always different from the next.<br>B: The differences in temperature and humidity are reaponsible for creating all the different patterns.<br>A: When enough snowflakes fall from the key, I love to build snowmen, build forts and throw snowballs! Its so much fun in the winter!<br>","Snowman Human clothing, such as a hat or scarf, may be included.","Yes, and if you are not a fan of human clothing, such as a hat or scarf, you may also choose to include them!",0.5,No,n
328,GPT2-small,nucleus,"A: I love J K Rowlings books. Have you the fantasy series called Harry Potter?<br>B: Oh yes of course, I have them in a box somewhere in my garage! I think I have books 1-4, as I grew up after that and didn't collect the rest of them. <br>A: They are popular among adults and well as younger readers of modern young adult literature,<br>B: Of course, for me I guess I just stopped reading actual books in my spare time after I turned 12 or so. I love the movies though! In fact there's a marathon going on this weekend!<br>A: That would be fun. The series had some criticism about the dark tone as well as some graphic violence it depicts.<br>B: Yeah Ive heard some parents are not allowing their kids to read or watch the movies. I suppose for me its okay so long as the child understands its fantasy and not real.<br>","Harry Potter , the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",It's a shame. They are the best selling book series in history.,1.0,No,y
329,GPT2-small,nucleus,"A: Be aggressive! Be Be aggressive! That's my favorite cheer!<br>B: Haha! That is pretty cool. I think I would be good at chanting slogans, but not the intense physical activity!<br>A: I've been cheering for the last 5 years, the stunts are my favorite part of cheer.<br>B: Have you been in any cheer competitions or do you normally cheer for sports teams?<br>A: I cheer for a sports team when I was younger my squad went to several cheer competitions. <br>","Cheer Athletics Cheer Athletics, located in Plano, TX (near Dallas, TX), Austin, TX, Frisco, TX and Charlotte, NC and Columbus, OH is one of the largest all-star cheerleading program in the United States, with over thousands of athletes competing on 80+ teams.","I'm a cheerleader myself, but I'm sure you've heard of Cheer Athletics.",0.83,No,y
330,GPT2-small,nucleus,"A: i wanna start drinking protein shakes<br>B: Herbal protein shakes are the best if you want to increase strength and stamina. Athletes have been doing this since ancient times.<br>A: cool, tell me more plz<br>B: Eugen Sandow was the first modern bodybuilder in the west that started to suggest the use of dietary supplements to grow your muscles faster.<br>A: i've never heard of him! Where is Eugen Sandow from?<br>","Eugen Sandow Sandow was born in Königsberg, Prussia (now Kaliningrad, Russia) on April 2, 1867 to a German father and a Russian mother.","His real name is Sandow Sandow, born in Königsberg, Prussia.",0.5,No,y
331,GPT2-small,nucleus,"A: I went to a nickelback concert this past summer<br>B: Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are<br>A: The lead singer was very funny during the set, I forget his name though.<br>B: I wasn't aware at first but Nickelback is not American there originating from Canada<br>A: I didn't know that either. Do they tour there?<br>","Nickelback The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",They do but they are mostly from the US. I wonder if they are from the UK?,0.0,Yes,n
332,GPT2-small,nucleus,"A: I don't really know the rules of American Football<br>B: Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.<br>A: It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements<br>B: Oh I can understand that, advertising is so frustrating unless they are super bowl commercials. I like to watch Redzone on Sunday's ever heard of it?<br>A: no, what is that?<br>",NFL RedZone NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,It is an American sports television channel owned and operated by NFL Network since 2009.,1.0,No,y
333,GPT2-small,nucleus,"A: Hey do you like taking pictures?<br>B: I really like it! I especially like using Instagram. You know that internet based photo sharing application that allows everyone to share photos and videos publicly?<br>A: I do!  I enjoy Instagram as well, especially the filters you can overlay on your photography to add depth and shadow and highlights!<br>B: Yeah! It was created by Kevin Systrom and Mike Krieger and they launched it in 2010 as a free app exclusively for the IOS platform.<br>A: I didn't realize it was exclusive to IOS to begin with, good thing I had an Iphone back then.<br>","Instagram A version for Android devices was released two years later, in April 2012, followed by a feature-limited website interface in November 2012, and apps for Windows 10 Mobile and Windows 10 in April 2016 and October 2016 respectively.","That's a shame! I used to use it for a little while, but then my phone got stuck on a random device. I was like ""oh that's weird! I've never heard of",0.0,Yes,n
334,GPT2-small,nucleus,"A: I love fantasy fiction, but I never finished the Harry Potter series.<br>B: Yes. They are fantasy novels written by British author J. K. Rowling, if reading is too hard you can watch the movie.<br>A: I know they made movies, but I wonder if the movies are as good as the books.  The books didn't keep me interested, so I worry about the movies!<br>B: The novel talks about the  life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.The movies are also good<br>A: I think the place I quit reading was where they were at Hogwarts and were being picked for ""houses"" to live in.  That's pretty early on.<br>","Harry Potter The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.","I'm not sure what that means. I just know that the main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who plans to become immortal, overthrow the wizard governing body known as",0.83,No,y
335,GPT2-small,nucleus,A: Have you heard about Guns n' roses<br>B: I have heard of them. I like their song November Rain<br>A: Yes the sond was well written by Axl Rose<br>B: I heard of their Illusion Tour<br>A: The tour was splendid. It was one of their longest tout<br>B: Didn't their guitarist slash leave the band?<br>,"Guns N' Roses Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Yes he did. They had a lot of records.,0.5,Yes,y
336,GPT2-small,nucleus,"A: I know a few girls that cheerlead at my college. They are beautiful and really friendly!<br>B: Many universities in Australia have distinctive clothes.<br>A: Cheerleading<br>B: Cheerleading includes activities such as chanting mottoes and very intense physical activity.<br>A: Cool, do you know how common cheerleading is in australia?<br>","Cheerleading Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.",It is mostly in the United States.,0.5,No,y
337,GPT2-small,nucleus,"A: I'm a huge fan of the band Nirvana and the death of Kurt Cobain was awful for me. Do you like Nirvana or Kurt Cobain?<br>B: I wouldn't say they are a favorite of mine, but I appreciate the music.  Is his ex Courtney Love still alive?<br>A: Courtney Love is still alive. She is an actress now and was notably in the show Sons of Anarchy. I don't like Courtney Love and I think she had a large part in Kurt Cobain's death!<br>B: I didn't know she was in Sons of Anarchy.  They had a child together too, right?<br>A: They did. Her name was Francis Bean and she was very young when he died. I believe Courtney Love was only in a couple episodes of Sons of Anarchy. Do you watch the show?<br>B: I never really saw Sons of Anarchy.  I've seen bits and pieces and know a lot of people who enjoyed it.<br>","Grunge Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns.",It's a subculture that emerged during the in the 80's and 90's. I think they were the best rock and roll band ever.,0.33,No,n
338,GPT2-small,nucleus,"A: I have an accountant named henry!!<br>B: Tell him I said hi! Henry's job was first started by a mathmetician named Luca Pacioli in 1494!<br>A: Thats insane to me, so long ago<br>B: Sometimes accounting is known as financial reporting.<br>A: Thats such a weird thing to call it two things<br>","Accounting Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","In accounting, accounting is divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",1.0,No,y
339,GPT2-small,nucleus,"A: The Walking Dead is a kewl post apocalyptic horror tv show.<br>B: I have never watched it.  Who is in the show?<br>A: The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes. <br>B: When did the series start?  <br>A: The Walk Dead premiered in 2010, as a cable tv show on AMC<br>B: Wow, it has been on the air for a long time.  What else can you tell me about it?  i<br>","The Walking Dead (TV series) Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",The show has attracted 18- to 49-year old viewers,0.83,No,y
340,GPT2-small,nucleus,"A: When I have schoolwork that requires motivation, I have trouble finding the direction I need to get started.<br>B: Do you have ADHD?<br>A: Perhaps.  I do have trouble paying attention for a person of my age.<br>B: How old are you? My son has ADHD and the older he got it did get better, but he still as a teen has trouble.<br>A: I am 24.  When did his symptoms appear?  Were they before the age of twelve?  Did they last longer than six months?<br>B: Yes before age 12. They have lasted from at least kindergarten until high school.<br>","List of secondary education systems by country Every country aims to provide basic education, but the systems and terminology remain unique to them.",I was surprised to find out that the countries that offer secondary education have different terminology.  What did you find?,1.0,No,n
341,GPT2-small,nucleus,"A: Cardigans make me look dapper.<br>B: I agree. They're associated with the Roaring Twenties which had many classy dressing styles.<br>A: Do you know if there are any made out of a material other than cotton?<br>B: Not sure, but they are knitted so I'm guessing lots of different materials can be used.<br>A: Are they knitted by hand?<br>",Cardigan (sweater) It may be machine- or hand-knitted.,"No, I don't know of any machine- or hand-knitted ones.",0.0,Yes,n
342,GPT2-small,nucleus,"A: i think skiing is for rich people<br>B: Same here, I've never tried skiing whether it was for recreation or for transport.<br>A: yeah the equipment is too expensive, even if you rent<br>B: Exactly. That's why I just stick to watching competitive skiing occasionally.<br>A: that's cool do you have any favorite skiers? <br>",Skiing Skiing has a history of almost five millennia.,I think I like the Russian Puma skier named Ruslan.,0.0,Yes,y
343,GPT2-small,nucleus,"A: I have driven a race car before!<br>B: You might be interested in driving the Dodge Viper, which has 75% or more of its parts manufactured in the US.<br>A: Don't Italian companies make better auto racing parts?<br>B: They might, and they also tend to build better roads, like the A1 motorway in romania, which will connect Bucharest with the Banat and Crisana regions.<br>A: Did you watch the Indy 500 last weekend?<br>",Indianapolis 500 The event is held over Memorial Day weekend in late May.,"I did, and it's held over Memorial Day weekend in late May.",1.0,No,y
344,GPT2-small,nucleus,"A: Medical billing is a payment practice in the US health system. The office I work in handles a lot of medical bills<br>B: That sounds interesting, do you have a quota for how many items you have to do a day or is it just whatever comes in?<br>A: It fluctuates because healthcare providers submit and follow up on claims with the insurance companies to get their payment.<br>B: Do you have to memorize a whole bunch of medical codes or do you have handy reference sheets?<br>A: Most of it's handled by the computer now. Medical billers are encouraged but not required to become certified. Most that do know a lot of the codes.<br>B: Makes sense, do most medical billers work for hospitals or outside agencies?<br>","Medical billing Those seeking advancement may be cross-trained in medical coding or transcription or auditing, and may earn a bachelor's or graduate degree in medical information science and technology.",Yes. They can also be cross-trained in medical coding or transcription,1.0,No,y
345,GPT2-small,nucleus,"A: Do you like Elvis Presley? he was a famous american singer<br>B: He is pretty good, I am from Nashville, So i've even been to graceland.<br>A: Presley was born in Tupelo, Mississippi, and then to memphis<br>B: What was elvis's most popular songs?<br>A: Heartbreak Hotel was a number one hit in the USA<br>B: I know that song, my grandfathers favorite elvis style was when he sang gospel.<br>","Elvis Presley With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.","That is good, he was the leader of the new sound of rock and roll.",0.5,No,y
346,GPT2-small,nucleus,"A: I live near where they film the walking dead.<br>B: Ah so you must live in Atlanta or Alexandria?<br>A: They fil it in Semoia, GA. That is correct.<br>B: Cool! It has been on since 2010. Still currently on, but I really think it should have ended a while ago.<br>A: Correction, Senoia, GA  Pronounced Snoy.  Yes, i watched the first few episodes of season 1 but then gave up.<br>","The Walking Dead (TV series) Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",It is funny that the show has become so popular. The show has attracted 18- to 49-year-old viewers of the show.,0.5,No,y
347,GPT2-small,nucleus,"A: I really enjoy a fun day of skiing! I don't do it competitively though.<br>B: water skiing or snow skiing?<br>A: Water skiing is my preferred type of skiing! I love being out on the water.<br>B: Oh ok what do they call it when you ski on one ski?<br>A: I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden.<br>B: Nice, I know very little about skiing what else can you tell me?<br>","Skiing Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","I'm sure you have read a lot about the evolution of skiing, but I'm not sure what you mean by modern skiing. It's been practiced more than 100 years ago.",0.33,No,n
348,GPT2-small,nucleus,"A: My mother is a huge fan of Elvis Presley! She even got to meet him once! Are you also a fan?<br>B: I do too, he is Regarded as one of the most significant cultural icons of the 20th century.<br>A: I absolutely agree! He had so many great songs. I really liked ""Love Me Tender."" Do you have a favorite song?<br>B: Can't help falling in love is my favorite song from Elvis.<br>A: That's a great one too! Even though my mom was a huge fan, I don't know much about Elvis. Do you know where or when he was born?<br>","Elvis Presley Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","He was born in Tupelo, Mississippi.",1.0,No,y
351,GPT2-small,nucleus,"A: I think Ireland is just a fascinating country. Especially because it is the third largest island in europe<br>B: It does seem like an interesting place, can you tell me anything else about Ireland?<br>A: Well about 6.6 million people liver there, making it the second most populous island in europe.<br>B: Wow that's so cool, what is the capital of Ireland?<br>A: Techically it has two, Dublin and Belfast. This is because Ireland is divided into two different countries. The Republic of Ireland, and Northern Ireland.<br>B: Oh that's really interesting, has it always been divided into two countries?<br>","Northern Ireland Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government.",It has been divided into two countries. The Northern Ireland Assembly actually holds responsibility for devolved policy.,1.0,No,y
352,GPT2-small,nucleus,"A: I want to learn how to design video games, trying to read and learn about it<br>B: It would be so interesting to help build a game for entertainment or educational purposes<br>A: Yes I agree. I wonder if education is required or just experience ?<br>B: I bet both could work out, if you are really good you probably don't need education<br>A: It would seem to me that computer and design skills and maybe graphic arts sikills would help<br>","Game design Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.","I'm not sure, but I do know that game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport",1.0,No,y
353,GPT2-small,nucleus,"A: Kendrick Lamar is an American rapper and songwriter.<br>B: tell me more about him<br>A: He was born born June 17, 1987<br>B: interesting, what else can you tell me about him?<br>A: He was raised in Compton, California, Lamar embarked on his musical career as a teenager under the stage name K-Dot<br>B: What was his first album?<br>","Kendrick Lamar He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".","He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".",1.0,No,y
354,GPT2-small,nucleus,"A: I really love music and dancing<br>B: Yeah, I like music too, I have a lot of favorite female singers. I like music festivals too.<br>A: So, have you ever been to music festival?<br>B: Nope, but I would really like to. I'm scared of getting too hot, it's outdoors so there's a chance.<br>A: Wow, maybe u need to try it, its so interesting<br>","Music festival A music festival is a community event oriented towards live performances of singing and instrument playing that is often presented with a theme such as musical genre (e.g., blues, folk,  jazz, classical music), nationality, or locality of musicians, or holiday.","I didn't realize that, I think it's really cool to see live performances of music.",1.0,No,y
355,GPT2-small,nucleus,"A: I bet you must have a Cardigan, which is a  knitted garment (sweater) that has an open front.<br>B: Haha actually I do! I own a light grey one and a dark grey one. They have a row of buttons going down one side. How did you know?<br>A: Sweet. does it  buttons? because I like the ones that have buttons<br>B: Yeah, a row down one side in the front. Nice polished wood. Can you guess the material my cardigans are made out of?<br>A: Cotton? But modern and trendy ones  these days have  no buttons and hangs open by design. <br>B: I think mine is pretty modern and trendy. At least Target told me it was! But yeah, I think they're cotton/wool blends.<br>","Cardigan (sweater) By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn.",I know what you mean. The pullover does not open in front but must be pulled over,1.0,No,y
356,GPT2-small,nucleus,"A: Green is my favorite color. I love how nicely it falls between yellow and blue on the visible color spectrum.<br>B: I love green as well. Do you like a particular shade of green?<br>A: I love kelly green it's just one of the many shades of green named after a plant.<br>B: That is a great color. Where do you like to see green the most? On cars, clothing?<br>A: I love green on clothing. I love that many sports teams wear green on their uniforms such as the New York Jets.<br>B: That's a great way to wear green. What is your least favorite color?<br>","Grey It is a neutral or achromatic color, meaning literally that it is a color ""without color.""",I like the color red. It is a neutral or achromatic color meaning that it is not color without color.,0.0,Yes,n
358,GPT2-small,nucleus,"A: Did you ever read Harry Potter by J.K. Rowling? I've only seen the films.<br>B: Me too. Tried the books, wasn't a fan.<br>A: I know there is a lot of Harry Potter fandom where people write fan fiction and do role playing.<br>B: Yes, it is well suited to that.  I know you can find out what 'house' you'd be in at Hogwarts online.<br>A: That's interesting. I always liked the core friendship between Harry Potter, Hermione and Ron Weasley. I know Universal Studios has a Harry Potter attraction.<br>B: Harry Potter's actor was an inspired choice.  Actually, all the character actors were.<br>","Harry Potter They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature.",That's pretty cool.  Harry Potter has been around for a while now.  It's been around for a while too.  Have you read the books?,0.0,Yes,n
359,GPT2-small,nucleus,"A: Ive never actually owned a cardigan sweater though they look comfy<br>B: I have several they are comfortable, practical and warm. Very efficient clothing<br>A: Cardigan sweaters are simple knitted garments which is why they are so nice<br>B: What kind of material are they made from?<br>A: When it comes to cardigan sweaters they use knitted cotton often<br>B: Ok I wonder why they don't use wool for warmth?<br>",Cardigan (sweater) A cardigan is a type of knitted garment (sweater) that has an open front.,A cardigan is a type of knitted garment that has an open front,1.0,No,n
360,GPT2-small,nucleus,A: I just started bowling recreationally but am not very good.  Do you bowl?<br>B: I do bowl occassionally.  You really want to try to get as many pins knocked down as possible.<br>A: Yeah.  How do you get the ball to curve like the pros?<br>B: Curving the ball is hard.  It requires you put a spin on the ball by turning your wrist.<br>A: I just can't get how to do it.  Who invented bowling?<br>,Bowling It is one of the major forms of throwing sports.,I'm not sure but it's one of the major forms of throwing sports.,1.0,No,y
361,GPT2-small,nucleus,"A: Everyone has seen Harry Potter except me. Have you ever read the books or watched the movies?<br>B: Yes I am a big fan of it actually. I love reading about chronicles of the life of a young wizard<br>A: Was he born a wizard?<br>B:  As far as the main story arc concerns, he was and he went to wizard school to improve himself.<br>A: Who wrote these stories?<br>",Harry Potter Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"I'm not sure, but I know JK Rowling wrote the first Harry Potter and the second Harry Potter.",1.0,No,y
362,GPT2-small,nucleus,"A: I love dogs, I think my favorite is a Goldendoodle, have you ever heard of those?<br>B: You mean the cress-breed dog, between a golden retriever and a Pooddle?<br>A: Yes that's the one, I love their curly hair!<br>B: I am not sure I've seen then though,  Are they the ones that look like giant golden Poodles?<br>A: Yes they very much resemble golden poodles but with the ability to grow larger.<br>",Goldendoodle Poodles are considered to be hypoallergenic.,"That is a good question,  I think Poodles are considered to be hypoallergenic",0.83,No,n
363,GPT2-small,nucleus,"A: Do you like skiing? It has a history of amost five millennia!<br>B: I really do, i live in a mountainous region, so its really popular here, i like cimbing too :D<br>A: Do you like cross-country skiing? I know some people still use it as a means of transportation<br>B: I have heard of that, i think they use it as a transport method in Alaska and Siberia <br>A: I bet they do! The word Skiing actually comes from Old Norse word Skio which means ""Split piece of wood or firewood""<br>B: Wow, thats really interesting, i think they use huskies because of the fur and the fact that they are most similar to wolves <br>",Skiing Early skiers used one long pole or spear.,Exactly! Early skiers used one long pole or spear.,1.0,No,y
